,Player,Squad,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Max Aarons,Norwich City,32.0,0,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
1,Yunis Abdelhamid,Reims,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,+0.8,+0.8
2,Salis Abdul Samed,Clermont Foot,27.4,1,18,5,27.8,0.66,0.18,0.06,0.20,21.5,0,0,0,0.7,0.7,0.04,+0.3,+0.3
3,Laurent Abergel,Lorient,32.8,0,29,7,24.1,0.88,0.21,0.00,0.00,24.2,0,0,0,1.5,1.5,0.05,-1.5,-1.5
4,Charles Abi,Saint-Étienne,0.5,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
5,Dickson Abiama,Greuther Fürth,8.1,0,18,4,22.2,2.23,0.50,0.00,0.00,16.7,0,0,0,1.8,1.8,0.10,-1.8,-1.8
6,Matthis Abline,Rennes,1.1,0,2,0,0.0,1.75,0.00,0.00,0.0,9.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3
7,Tammy Abraham,Roma,34.3,17,92,35,38.0,2.68,1.02,0.15,0.40,12.9,3,3,3,20.7,18.4,0.20,-3.7,-4.4
8,Luis Abram,Granada,6.2,0,2,0,0.0,0.32,0.00,0.00,0.0,9.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3
9,Francesco Acerbi,Lazio,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.4,2.4,0.16,+1.6,+1.6
10,Ragnar Ache,Eint Frankfurt,2.9,0,10,2,20.0,3.47,0.69,0.00,0.00,16.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
11,Mohamed Achi,Nantes,0.1,0,0,0,0.0,0.00,0.00,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
12,Marcos Acuna,Sevilla,25.1,1,16,5,31.3,0.64,0.20,0.06,0.20,21.7,1,0,0,1.2,1.2,0.08,-0.2,-0.2
13,Che Adams,Southampton,22.7,7,49,24,49.0,2.16,1.06,0.14,0.29,13.3,0,0,0,7.1,7.1,0.15,-0.1,-0.1
14,Tyler Adams,RB Leipzig,15.0,0,2,0,0.0,0.13,0.00,0.00,0.0,21.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
15,Sargis Adamyan,Hoffenheim,3.7,1,3,2,66.7,0.82,0.54,0.33,0.50,17.2,0,0,0,0.7,0.7,0.22,+0.3,+0.3
16,Martin Adeline,Reims,3.9,0,4,1,25.0,1.02,0.26,0.00,0.00,11.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4
17,Amine Adli,Leverkusen,14.0,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.3,4.3,0.12,-1.3,-1.3
18,Yacine Adli,Bordeaux,25.1,1,32,15,46.9,1.27,0.60,0.03,0.07,21.2,4,0,0,2.0,2.0,0.06,-1.0,-1.0
19,Michel Aebischer,Bologna,4.9,0,2,2,100.0,0.41,0.41,0.00,0.00,22.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
20,Felix Afena-Gyan,Roma,7.4,2,17,7,41.2,2.29,0.94,0.12,0.29,16.1,0,0,0,1.7,1.7,0.10,+0.3,+0.3
21,Martin Agirregabiria,Alavés,18.0,0,4,0,0.0,0.22,0.00,0.00,0.0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
