,Player,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
0,Max Aarons,32.0,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1
1,Yunis Abdelhamid,33.1,48,27,34,14,0,16,32,50.0,16,50,25,25,68,116,104,0
2,Salis Abdul Samed,27.4,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0
3,Laurent Abergel,32.8,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0
4,Charles Abi,0.5,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0
5,Dickson Abiama,8.1,11,7,4,5,2,2,10,20.0,8,12,1,11,4,15,8,0
7,Tammy Abraham,34.3,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0
8,Luis Abram,6.2,6,3,3,3,0,2,4,50.0,2,6,5,1,5,11,37,1
9,Francesco Acerbi,28.2,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0
10,Ragnar Ache,2.9,2,0,0,1,1,1,4,25.0,3,3,0,3,0,2,1,0
12,Marcos Acuna,25.1,50,29,27,14,9,30,46,65.2,16,22,5,17,14,64,25,1
13,Che Adams,22.7,13,6,5,5,3,2,16,12.5,14,18,2,16,8,21,18,0
14,Tyler Adams,15.0,23,7,5,16,2,7,25,28.0,18,24,1,23,16,39,19,2
15,Sargis Adamyan,3.7,8,6,3,4,1,3,11,27.3,8,4,0,4,1,9,2,0
16,Martin Adeline,3.9,15,11,5,8,2,8,16,50.0,8,0,0,0,11,26,6,0
17,Amine Adli,14.0,27,14,10,14,3,8,15,53.3,7,26,2,24,11,38,12,0
18,Yacine Adli,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2
19,Michel Aebischer,4.9,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0
20,Felix Afena-Gyan,7.4,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0
21,Martin Agirregabiria,18.0,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0
23,Lucien Agoume,20.8,51,31,24,20,7,23,45,51.1,22,30,9,21,52,103,27,1
24,Kevin Agudelo,13.7,44,26,13,26,5,7,20,35.0,13,22,0,22,8,52,6,0
26,Nayef Aguerd,30.4,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1
27,Sergio Aguero,1.7,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0
28,Ruben Aguilar,23.8,78,53,39,32,7,43,68,63.2,25,19,4,15,44,122,57,0
30,Naouirou Ahamada,0.7,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0
31,Anel Ahmedhodzic,15.0,38,26,27,9,2,20,31,64.5,11,16,8,8,22,60,44,0
32,Jean-Eudes Aholou,11.2,16,9,4,9,3,5,19,26.3,14,8,1,7,19,35,7,0
33,Joseph Aidoo,29.3,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3
34,Ola Aina,16.0,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0
35,Rayan Ait Nouri,20.3,64,36,46,15,3,22,44,50.0,22,24,2,22,22,86,39,1
36,Kristoffer Ajer,22.2,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0
37,Ludovic Ajorque,30.4,36,25,5,19,12,7,40,17.5,33,28,3,25,8,44,31,1
38,Manuel Akanji,25.1,33,23,20,11,2,22,32,68.8,10,26,15,11,35,68,58,0
39,Carlos Akapo,20.5,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0
40,Marley Ake,0.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0
41,Nathan Ake,10.3,16,9,7,8,1,6,8,75.0,2,7,5,2,8,24,23,0
43,Maghnes Akliouche,0.6,2,0,0,2,0,0,1,0.0,1,2,0,2,0,2,0,0
44,Paul Akouokou,5.7,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0
45,Jean-Daniel Akpa-Akpro,3.5,17,10,7,9,1,7,12,58.3,5,4,2,2,2,19,6,0
