,Player,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Patrick van Aanholt,27.9,3,26,5,19.2,0.93,0.18,0.08,0.40,21.7,3,1,1,2.1,1.3,0.05,+0.9,+0.7
1,Max Aarons,36.0,0,14,4,28.6,0.39,0.11,0.00,0.00,17.2,0,0,0,0.6,0.6,0.04,-0.6,-0.6
2,Yunis Abdelhamid,28.0,3,19,5,26.3,0.68,0.18,0.16,0.60,13.3,0,0,0,1.7,1.7,0.09,+1.3,+1.3
3,Suleiman Abdullahi,1.7,1,6,3,50.0,3.44,1.72,0.17,0.33,16.0,0,0,0,1.1,1.1,0.19,-0.1,-0.1
4,Mehdi Abeid,20.2,1,33,7,21.2,1.63,0.35,0.03,0.14,25.1,3,0,0,1.5,1.5,0.04,-0.5,-0.5
6,David Abraham,18.8,2,7,4,57.1,0.37,0.21,0.29,0.50,8.1,0,0,0,1.6,1.6,0.22,+0.4,+0.4
7,Tammy Abraham,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,11.6,0,0,0,16.4,16.4,0.19,-1.4,-1.4
8,Amir Abrashi,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,20.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5
9,Francesco Acerbi,35.1,2,16,5,31.3,0.46,0.14,0.13,0.40,14.5,0,0,0,2.4,2.4,0.15,-0.4,-0.4
10,Che Adams,12.3,4,36,9,25.0,2.92,0.73,0.11,0.44,15.2,0,0,0,5.3,5.3,0.15,-1.3,-1.3
11,Tyler Adams,10.6,0,7,1,14.3,0.66,0.09,0.00,0.00,18.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4
12,Sargis Adamyan,8.3,5,21,11,52.4,2.53,1.33,0.24,0.45,12.1,0,0,0,5.9,5.9,0.28,-0.9,-0.9
14,Bobby Adekanye,2.1,1,5,4,80.0,2.39,1.91,0.20,0.25,11.3,0,0,0,1.4,1.4,0.27,-0.4,-0.4
15,Claud Adjapong,2.6,0,3,1,33.3,1.17,0.39,0.00,0.00,14.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
17,Yacine Adli,11.3,3,17,6,35.3,1.50,0.53,0.18,0.50,23.8,1,0,0,0.8,0.8,0.04,+2.2,+2.2
19,Aritz Aduriz,2.3,1,6,2,33.3,2.60,0.87,0.17,0.50,15.7,0,0,1,1.6,0.8,0.13,-0.6,+0.2
20,Lumor Agbenyenu,20.1,1,14,2,14.3,0.70,0.10,0.07,0.50,30.1,0,0,0,0.3,0.3,0.02,+0.7,+0.7
21,Martin Agirregabiria,23.3,1,3,1,33.3,0.13,0.04,0.33,1.00,24.1,0,0,0,0.8,0.8,0.26,+0.2,+0.2
24,Kevin Agudelo,7.4,1,10,2,20.0,1.35,0.27,0.10,0.50,17.4,0,0,0,1.2,1.2,0.12,-0.2,-0.2
26,Nayef Aguerd,10.6,1,4,1,25.0,0.38,0.09,0.25,1.00,22.0,1,0,0,0.3,0.3,0.08,+0.7,+0.7
27,Sergio Aguero,16.1,16,73,24,32.9,4.52,1.49,0.19,0.58,13.7,0,2,3,14.5,12.1,0.17,+1.5,+1.9
28,Ruben Aguilar,11.9,0,6,2,33.3,0.50,0.17,0.00,0.00,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
