,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
0,Brenden Aaronson,Leeds United,26.4,2,0,0,16,55,6,72,5,18,0,0,0,128,8,39,17.0
1,Paxten Aaronson,Eint Frankfurt,1.9,1,0,0,5,3,1,7,0,5,0,0,0,8,1,1,50.0
2,James Abankwah,Udinese,0.7,0,0,0,2,1,0,0,0,1,0,0,0,2,2,0,100.0
3,George Abbott,Tottenham,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
4,Yunis Abdelhamid,Reims,37.0,6,0,0,49,28,2,5,64,50,0,0,0,263,93,51,64.6
5,Himad Abdelli,Angers,23.7,3,0,0,43,31,1,35,28,38,0,0,0,180,18,23,43.9
6,Salis Abdul Samed,Lens,32.2,6,1,0,71,38,0,10,36,26,0,0,1,213,14,17,45.2
7,Laurent Abergel,Lorient,26.0,7,1,1,28,29,0,6,34,52,0,0,0,193,8,15,34.8
8,Oliver Abildgaard,Hellas Verona,6.6,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4
9,Matthis Abline,Auxerre,9.0,1,0,0,14,10,5,6,1,2,1,0,0,13,12,30,28.6
10,Matthis Abline,Rennes,1.2,0,0,0,3,5,1,2,2,1,1,0,0,2,1,4,20.0
11,Abner,Betis,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0
12,Zakaria Aboukhlal,Toulouse,27.5,4,0,0,41,46,20,29,22,23,0,0,0,130,12,31,27.9
13,Tammy Abraham,Roma,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9
14,Christian Acella,Cremonese,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
15,Francesco Acerbi,Inter,26.9,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0
16,Alvaro Aceves,Valladolid,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
17,Mohamed Achi,Nantes,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0.0
18,Marcos Acuna,Sevilla,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5
19,Che Adams,Southampton,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.2
20,Tyler Adams,Leeds United,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5
21,Sargis Adamyan,Köln,7.2,3,0,0,17,6,4,13,4,7,0,0,0,40,12,25,32.4
22,Tosin Adarabioyo,Fulham,23.2,4,0,0,17,5,3,2,26,13,0,0,0,110,59,26,69.4
23,Martin Adeline,Reims,1.2,2,0,0,5,0,0,0,3,3,0,0,0,11,6,5,54.5
