,Player,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - FK,Standard - PK,Standard - PKatt,Expected - xG,Expected - npxG,Expected - npxG/Sh,Expected - G-xG,Expected - np:G-xG
0,Patrick van Aanholt,24.3,5,33,11,33.3,1.36,0.45,0.15,0.45,23.4,4,0,0,3.1,3.1,0.09,+1.9,+1.9
3,Ignazio Abate,11.7,1,4,2,50.0,0.34,0.17,0.25,0.50,17.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8
4,Aymen Abdennour,5.5,0,2,1,50.0,0.36,0.18,0.00,0.00,11.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
6,Mehdi Abeid,13.1,0,21,6,28.6,1.61,0.46,0.00,0.00,25.2,2,0,0,1.0,1.0,0.05,-1.0,-1.0
7,David Abraham,25.6,0,7,1,14.3,0.27,0.04,0.00,0.00,19.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
8,Tammy Abraham,19.2,5,42,13,31.0,2.19,0.68,0.12,0.38,13.1,0,0,0,6.8,6.8,0.16,-1.8,-1.8
10,Francesco Acerbi,38.0,0,15,2,13.3,0.39,0.05,0.00,0.00,18.0,0,0,0,1.0,1.0,0.07,-1.0,-1.0
11,Afriyie Acquah,10.6,1,9,3,33.3,0.85,0.28,0.11,0.33,24.2,0,0,0,0.4,0.4,0.04,+0.6,+0.6
12,Charlie Adam,4.6,0,9,2,22.2,1.97,0.44,0.00,0.00,31.5,3,0,1,1.6,0.9,0.09,-1.6,-0.9
14,Aday,20.4,2,31,12,38.7,1.52,0.59,0.03,0.08,22.8,5,1,2,2.8,1.3,0.04,-0.8,-0.3
15,Khaled Adenon,32.5,0,5,1,20.0,0.15,0.03,0.00,0.00,9.1,0,0,0,0.6,0.6,0.13,-0.6,-0.6
16,Claud Adjapong,13.6,0,14,4,28.6,1.03,0.30,0.00,0.00,20.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8
19,Ali Adnan Kadhim,18.6,0,12,3,25.0,0.65,0.16,0.00,0.00,27.6,5,0,0,0.5,0.5,0.04,-0.5,-0.5
21,Aritz Aduriz,23.9,9,56,23,41.1,2.34,0.96,0.11,0.26,13.5,0,3,5,11.1,7.6,0.13,-2.1,-1.6
23,Benik Afobe,6.8,0,8,3,37.5,1.18,0.44,0.00,0.00,8.6,0,0,0,1.6,1.6,0.21,-1.6,-1.6
24,Martin Agirregabiria,20.3,0,3,1,33.3,0.15,0.05,0.00,0.00,36.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
26,Imanol Agirretxe,2.6,0,6,2,33.3,2.33,0.78,0.00,0.00,10.4,0,0,0,1.2,1.2,0.19,-1.2,-1.2
27,Sergio Aguero,21.8,21,90,38,42.2,4.13,1.74,0.19,0.45,13.9,1,4,4,16.2,13.1,0.15,+4.8,+3.9
28,Ruben Aguilar,27.3,0,16,4,25.0,0.59,0.15,0.00,0.00,18.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7
30,Jean-Eudes Aholou,33.4,5,39,7,17.9,1.17,0.21,0.13,0.71,23.8,0,0,0,2.2,2.2,0.06,+2.8,+2.8
32,Youssef Ait Bennasser,22.7,0,23,3,13.0,1.01,0.13,0.00,0.00,31.5,0,0,0,0.7,0.7,0.03,-0.7,-0.7
34,Manuel Akanji,10.0,0,5,2,40.0,0.50,0.20,0.00,0.00,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
35,Nathan Ake,37.3,2,18,8,44.4,0.48,0.21,0.11,0.25,11.2,0,0,0,1.4,1.4,0.08,+0.6,+0.6
37,Chadrac Akolo,12.2,5,32,15,46.9,2.61,1.23,0.16,0.33,18.0,0,0,1,4.7,4.0,0.12,+0.3,+1.0
38,Kevin Akpoguma,18.8,0,5,2,40.0,0.27,0.11,0.00,0.00,20.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
39,David Alaba,17.2,2,24,7,29.2,1.39,0.41,0.08,0.29,26.9,8,0,0,1.3,1.3,0.05,+0.7,+0.7
40,Lucas Alario,17.2,9,56,20,35.7,3.25,1.16,0.14,0.40,13.1,1,1,2,10.5,8.9,0.16,-1.5,-0.9
42,Jordi Alba,30.5,2,15,5,33.3,0.49,0.16,0.13,0.40,14.4,0,0,0,2.1,2.1,0.14,-0.1,-0.1
43,Raul Albentosa,19.4,1,11,2,18.2,0.57,0.10,0.09,0.50,9.6,0,0,0,1.5,1.5,0.13,-0.5,-0.5
44,Luis Alberto,29.7,11,79,23,29.1,2.66,0.78,0.13,0.43,22.3,9,1,2,7.2,5.7,0.07,+3.8,+4.3
45,Raul Albiol,30.5,3,17,7,41.2,0.56,0.23,0.18,0.43,11.1,0,0,0,1.4,1.4,0.08,+1.6,+1.6
46,Miiko Albornoz,7.8,0,4,1,25.0,0.51,0.13,0.00,0.00,16.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
47,Marc Albrighton,28.2,2,20,6,30.0,0.71,0.21,0.10,0.33,20.5,1,0,0,1.6,1.6,0.08,+0.4,+0.4
48,Paco Alcacer,7.7,4,15,7,46.7,1.94,0.91,0.27,0.57,12.2,0,0,0,3.9,3.9,0.26,+0.1,+0.1
49,Pedro Alcala,7.7,1,8,3,37.5,1.04,0.39,0.13,0.33,15.9,1,0,0,1.0,1.0,0.12,0.0,0.0
50,Thiago Alcantara,13.9,2,24,7,29.2,1.73,0.51,0.08,0.29,19.9,1,0,0,2.5,2.5,0.11,-0.5,-0.5
53,Toby Alderweireld,13.1,0,10,1,10.0,0.76,0.08,0.00,0.00,20.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
55,Alex Alegria,7.0,0,14,2,14.3,2.01,0.29,0.00,0.00,18.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1
56,Ivan Alejo,12.2,1,13,3,23.1,1.06,0.25,0.08,0.33,20.8,0,0,0,0.5,0.5,0.04,+0.5,+0.5
57,Alexander,11.8,2,19,5,26.3,1.61,0.42,0.05,0.20,18.2,1,1,1,2.2,1.4,0.08,-0.2,-0.4
58,Trent Alexander-Arnold,17.5,1,12,5,41.7,0.69,0.29,0.08,0.20,21.5,1,0,0,1.0,1.0,0.08,0.0,0.0
59,Alexis,24.3,1,13,3,23.1,0.54,0.12,0.08,0.33,13.7,0,0,0,1.2,1.2,0.09,-0.2,-0.2
61,Allan,31.7,4,37,12,32.4,1.17,0.38,0.11,0.33,22.6,0,0,0,3.8,3.8,0.10,+0.2,+0.2
62,Joe Allen,34.9,2,24,4,16.7,0.69,0.11,0.08,0.50,18.4,0,0,0,1.8,1.8,0.08,+0.2,+0.2
63,Dele Alli,32.9,9,69,17,24.6,2.10,0.52,0.13,0.53,15.9,0,0,0,9.1,9.1,0.13,-0.1,-0.1
64,Junior Alonso,30.9,2,16,4,25.0,0.52,0.13,0.13,0.50,16.6,0,0,0,1.1,1.1,0.07,+0.9,+0.9
66,Marcos Alonso,31.7,7,65,22,33.8,2.05,0.69,0.11,0.32,17.0,9,0,0,4.1,4.1,0.06,+2.9,+2.9
67,Ricky Alvarez,3.0,1,10,3,30.0,3.37,1.01,0.10,0.33,23.1,1,0,0,0.4,0.4,0.04,+0.6,+0.6
70,Dani Alves,22.9,1,27,5,18.5,1.18,0.22,0.04,0.20,26.8,9,0,0,1.4,1.4,0.05,-0.4,-0.4
71,Ibrahim Amadou,26.7,0,16,2,12.5,0.60,0.07,0.00,0.00,20.5,0,0,0,0.9,0.9,0.06,-0.9,-0.9
73,Morgan Amalfitano,8.3,0,11,3,27.3,1.33,0.36,0.00,0.00,14.1,0,0,0,1.0,1.0,0.09,-1.0,-1.0
76,Jordi Amat,22.7,0,7,1,14.3,0.31,0.04,0.00,0.00,18.2,0,0,0,0.4,0.4,0.06,-0.4,-0.4
78,Amath,31.8,3,42,13,31.0,1.32,0.41,0.07,0.23,17.6,0,0,0,4.4,4.4,0.11,-1.4,-1.4
79,Jordan Amavi,24.4,0,20,5,25.0,0.82,0.21,0.00,0.00,25.9,0,0,0,0.6,0.6,0.03,-0.6,-0.6
81,Kelvin Amian,35.0,1,15,6,40.0,0.43,0.17,0.07,0.17,20.7,0,0,0,1.4,1.4,0.09,-0.4,-0.4
82,Nadiem Amiri,19.4,2,44,16,36.4,2.27,0.83,0.05,0.13,20.7,1,0,0,2.9,2.9,0.07,-0.9,-0.9
85,Nordin Amrabat,18.0,2,37,17,45.9,2.05,0.94,0.05,0.12,22.3,0,0,0,3.7,3.7,0.10,-1.7,-1.7
88,Felipe Anderson,12.9,4,26,10,38.5,2.01,0.77,0.15,0.40,19.4,1,0,0,2.8,2.8,0.11,+1.2,+1.2
